location,origin_date,target_date,output_type,output_type_id,value,target
Cal_S,2025-06-30,2025-07-31,cdf,0,0.25,No WNV activity
Cal_S,2025-06-30,2025-07-31,quantile,0.01,0.0,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.1,0.0,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.15,0.0,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.2,0.0,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.25,0.0,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.3,0.5402283668518066,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.35,0.7222444415092468,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.4,0.8827138543128967,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.45,1.0398197174072266,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.05,0.0,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.5,1.2042642831802368,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.55,1.380915641784668,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.6,1.5727941989898682,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.65,1.877694010734558,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.7,2.3048107624053955,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.75,2.8522820472717285,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.8,3.6658965349197388,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.85,5.218715786933899,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.9,7.480429172515869,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.95,12.6665198802948,WNV cases
Cal_S,2025-06-30,2025-07-31,quantile,0.99,33.75465488433838,WNV cases
Cal_S,2025-06-30,2025-08-31,cdf,0,0.004999999888241291,No WNV activity
Cal_S,2025-06-30,2025-08-31,quantile,0.01,0.02981385961174965,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.1,1.1865624785423279,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.15,1.5858101844787598,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.2,1.9519734382629395,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.25,2.3134769797325134,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.3,2.685952663421631,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.35,3.0808968544006348,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.4,3.5044522285461426,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.45,3.964393973350525,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.05,0.4651048332452774,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.5,4.467757940292358,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.55,5.02533221244812,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.6,5.653567314147949,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.65,6.37648344039917,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.7,7.50005841255188,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.75,9.821946144104004,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.8,12.266310691833496,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.85,15.97867202758789,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.9,22.465105056762695,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.95,35.49529457092285,WNV cases
Cal_S,2025-06-30,2025-08-31,quantile,0.99,75.28947639465332,WNV cases
Cal_S,2025-06-30,2025-09-30,cdf,0,0.15000000223517418,No WNV activity
Cal_S,2025-06-30,2025-09-30,quantile,0.01,0.0,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.1,0.0,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.15,0.19450649619102478,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.2,0.28524547815322876,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.25,0.5493154525756836,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.3,0.7391294836997986,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.35,1.6581476926803589,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.4,1.9357304573059082,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.45,2.1851917505264282,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.05,0.0,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.5,2.4314944744110107,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.55,2.6901785135269165,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.6,2.9698715209960938,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.65,3.280097723007202,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.7,3.675084352493286,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.75,4.201553463935852,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.8,4.901233911514282,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.85,5.924527645111084,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.9,7.916430234909058,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.95,12.113183498382568,WNV cases
Cal_S,2025-06-30,2025-09-30,quantile,0.99,23.77785015106201,WNV cases
Cal_S,2025-06-30,2025-10-31,cdf,0,0.20000000298023224,No WNV activity
Cal_S,2025-06-30,2025-10-31,quantile,0.01,0.0,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.1,0.0,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.15,0.0,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.2,0.0,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.25,0.4549569934606552,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.3,0.6459745466709137,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.35,0.8223356306552887,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.4,1.0,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.45,1.1340636610984802,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.05,0.0,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.5,1.2755279541015625,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.55,1.4263896346092224,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.6,1.5892044305801392,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.65,1.7685712575912476,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.7,1.9701115489006042,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.75,2.2160321474075317,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.8,2.5652400255203247,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.85,3.033634901046753,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.9,3.7352170944213867,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.95,5.043506383895874,WNV cases
Cal_S,2025-06-30,2025-10-31,quantile,0.99,8.729000568389893,WNV cases
Cal_S,2025-06-30,2025-11-30,cdf,0,0.800000011920929,No WNV activity
Cal_S,2025-06-30,2025-11-30,quantile,0.01,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.1,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.15,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.2,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.25,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.3,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.35,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.4,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.45,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.05,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.5,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.55,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.6,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.65,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.7,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.75,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.8,0.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.85,1.0,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.9,1.328165054321289,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.95,1.75,WNV cases
Cal_S,2025-06-30,2025-11-30,quantile,0.99,2.6504091024398804,WNV cases
Cal_S,2025-06-30,2025-12-31,cdf,0,0.8499999940395355,No WNV activity
Cal_S,2025-06-30,2025-12-31,quantile,0.01,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.1,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.15,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.2,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.25,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.3,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.35,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.4,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.45,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.05,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.5,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.55,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.6,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.65,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.7,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.75,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.8,0.0,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.85,0.5,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.9,0.7134750485420227,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.95,1.559694766998291,WNV cases
Cal_S,2025-06-30,2025-12-31,quantile,0.99,2.3374399542808533,WNV cases
LAO_G,2025-06-30,2025-07-31,cdf,0,0.02500000037252903,No WNV activity
LAO_G,2025-06-30,2025-07-31,quantile,0.01,0.2604595720767975,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.1,1.1361051201820374,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.15,1.4201675653457642,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.2,1.6726652383804321,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.25,1.9154160022735596,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.3,2.1606122255325317,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.35,2.4157131910324097,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.4,2.686066746711731,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.45,2.9727832078933716,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.05,0.4537203311920166,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.5,3.280431032180786,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.55,3.6135650873184204,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.6,3.9791001081466675,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.65,4.388648509979248,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.7,4.987272262573242,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.75,6.054636716842651,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.8,7.330456256866455,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.85,9.156314373016357,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.9,11.137959957122803,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.95,14.711720943450928,WNV cases
LAO_G,2025-06-30,2025-07-31,quantile,0.99,24.812155723571777,WNV cases
LAO_G,2025-06-30,2025-08-31,cdf,0,0.02500000037252903,No WNV activity
LAO_G,2025-06-30,2025-08-31,quantile,0.01,0.5225860476493835,WNV cases
LAO_G,2025-06-30,2025-08-31,quantile,0.1,2.7933390140533447,WNV cases
LAO_G,2025-06-30,2025-08-31,quantile,0.15,3.6542919874191284,WNV cases
LAO_G,2025-06-30,2025-08-31,quantile,0.2,4.459149479866028,WNV cases
LAO_G,2025-06-30,2025-08-31,quantile,0.25,5.2636590003967285,WNV cases
LAO_G,2025-06-30,2025-08-31,quantile,0.3,6.099986791610718,WNV cases
