location,origin_date,target_date,output_type,output_type_id,value,target
ScV_N,2025-04-30,2025-05-31,quantile,0.01,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.05,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.1,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.2,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.3,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.4,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.5,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.6,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.7,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.8,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.9,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.95,0.16067440312861667,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.99,0.8899559696254226,WNV cases
ScV_N,2025-04-30,2025-05-31,cdf,0,0.94118725,No WNV activity
ScV_S,2025-04-30,2025-05-31,quantile,0.01,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.05,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.1,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.2,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.3,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.4,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.5,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.6,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.7,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.8,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.9,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.95,0.5475818089123535,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.99,1.077523688528928,WNV cases
ScV_S,2025-04-30,2025-05-31,cdf,0,0.9024725,No WNV activity
