location,origin_date,target_date,output_type,output_type_id,value,target
Cal_S,2025-04-30,2025-05-31,cdf,0,0.82493935072388,No WNV activity
Cal_S,2025-04-30,2025-05-31,quantile,0.01,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.05,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.1,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.15,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.2,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.25,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.3,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.35,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.4,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.45,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.5,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.55,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.6,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.65,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.7,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.75,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.8,0,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.85,1,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.9,1,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.95,2,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.99,5,WNV cases
Cal_S,2025-04-30,2025-06-30,cdf,0,0.676412539095578,No WNV activity
Cal_S,2025-04-30,2025-06-30,quantile,0.01,0,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.05,0,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.1,0,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.15,0,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.2,0,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.25,0,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.3,0,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.35,0,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.4,0,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.45,0,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.5,0,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.55,0,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.6,0,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.65,0,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.7,1,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.75,1,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.8,2,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.85,3,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.9,6,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.95,11,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.99,28,WNV cases
Cal_S,2025-04-30,2025-07-31,cdf,0,0.20271583898241,No WNV activity
Cal_S,2025-04-30,2025-07-31,quantile,0.01,0,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.05,0,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.1,0,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.15,0,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.2,0,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.25,1,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.3,2,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.35,2,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.4,3,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.45,4,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.5,5,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.55,7,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.6,8,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.65,10,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.7,13,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.75,16,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.8,20,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.85,25,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.9,32,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.95,47,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.99,84,WNV cases
Cal_S,2025-04-30,2025-08-31,cdf,0,0.0683855174914602,No WNV activity
Cal_S,2025-04-30,2025-08-31,quantile,0.01,0,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.05,0,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.1,1,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.15,2,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.2,3,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.25,4,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.3,6,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.35,7,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.4,9,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.45,11,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.5,13,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.55,15,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.6,18,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.65,21,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.7,24,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.75,29,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.8,34,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.85,41,WNV cases
