location,origin_date,target_date,output_type,output_type_id,value,target
Cal_S,2025-04-30,2025-05-31,cdf,0,1.4489019379210393e-05,No WNV activity
Cal_S,2025-04-30,2025-05-31,quantile,0.01,0.0530904196202755,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.05,0.0601936802268028,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.1,0.0655443146824836,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.15,0.0692017897963523,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.2,0.0726853758096695,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.25,0.0757883712649345,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.3,0.078536532819271,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.35,0.0808705985546112,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.4,0.0835459604859352,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.45,0.0863494053483009,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.5,0.088913083076477,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.55,0.0925418436527252,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.6,0.0946386605501174,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.65,0.097514122724533,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.7,0.1010608375072479,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.75,0.1044526696205139,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.8,0.1078009903430938,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.85,0.1137233301997184,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.9,0.1189716383814811,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.95,0.1300374567508697,WNV cases
Cal_S,2025-04-30,2025-05-31,quantile,0.99,0.1531848311424255,WNV cases
Cal_S,2025-04-30,2025-06-30,cdf,0,1.451093114918784e-05,No WNV activity
Cal_S,2025-04-30,2025-06-30,quantile,0.01,0.4629878401756286,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.05,0.5250548124313354,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.1,0.5715692043304443,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.15,0.6035432815551758,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.2,0.633908212184906,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.25,0.6608962416648865,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.3,0.684879720211029,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.35,0.7052778005599976,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.4,0.7286826968193054,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.45,0.75312340259552,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.5,0.7754541635513306,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.55,0.807185709476471,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.6,0.8253501653671265,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.65,0.850327730178833,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.7,0.8812903761863708,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.75,0.9109063148498536,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.8,0.9400767683982848,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.85,0.9917383193969728,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.9,1.037488579750061,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.95,1.133924961090088,WNV cases
Cal_S,2025-04-30,2025-06-30,quantile,0.99,1.3359578847885132,WNV cases
Cal_S,2025-04-30,2025-07-31,cdf,0,1.4565566884439484e-05,No WNV activity
Cal_S,2025-04-30,2025-07-31,quantile,0.01,1.1589266061782837,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.05,1.315048098564148,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.1,1.4305565357208252,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.15,1.5111360549926758,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.2,1.5870031118392944,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.25,1.6542977094650269,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.3,1.714244723320007,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.35,1.7653419971466064,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.4,1.8246339559555051,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.45,1.885045409202576,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.5,1.941533327102661,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.55,2.020784616470337,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.6,2.066569328308105,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.65,2.12807035446167,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.7,2.205770492553711,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.75,2.280134439468384,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.8,2.3529751300811768,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.85,2.4823672771453857,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.9,2.596778154373169,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.95,2.838722944259644,WNV cases
Cal_S,2025-04-30,2025-07-31,quantile,0.99,3.3463101387023926,WNV cases
Cal_S,2025-04-30,2025-08-31,cdf,0,1.4618712987535756e-05,No WNV activity
Cal_S,2025-04-30,2025-08-31,quantile,0.01,1.708651423454285,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.05,1.9399046897888184,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.1,2.108868360519409,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.15,2.228461980819702,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.2,2.3401107788085938,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.25,2.438973903656006,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.3,2.527200698852539,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.35,2.6025993824005127,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.4,2.69026780128479,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.45,2.7788264751434326,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.5,2.864409208297729,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.55,2.980001926422119,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.6,3.048438549041748,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.65,3.1368582248687744,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.7,3.25171446800232,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.75,3.3621630668640137,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.8,3.4689877033233643,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.85,3.6596851348876953,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.9,3.8282175064086914,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.95,4.186340808868408,WNV cases
Cal_S,2025-04-30,2025-08-31,quantile,0.99,4.937068462371826,WNV cases
Cal_S,2025-04-30,2025-09-30,cdf,0,1.4558998893059932e-05,No WNV activity
Cal_S,2025-04-30,2025-09-30,quantile,0.01,4.10228967666626,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.05,4.655056953430176,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.1,5.063708305358887,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.15,5.349049091339111,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.2,5.6175618171691895,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.25,5.855701446533203,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.3,6.067851066589356,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.35,6.24869441986084,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.4,6.458607196807861,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.45,6.672377109527588,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.5,6.872719764709473,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.55,7.153000354766846,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.6,7.315237522125244,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.65,7.532541275024414,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.7,7.807629585266113,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.75,8.070853233337402,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.8,8.328688621520996,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.85,8.786652565002441,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.9,9.191596031188965,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.95,10.04814624786377,WNV cases
Cal_S,2025-04-30,2025-09-30,quantile,0.99,11.845159530639648,WNV cases
