index,location,origin_date,target_date,output_type,output_type_id,value,target
0,Cal_S,2025-04-30,2025-05-31,cdf,0,1.127608889852127e-36,No WNV activity
1,Cal_S,2025-04-30,2025-05-31,quantile,0.01,0.3850265145301819,WNV cases
2,Cal_S,2025-04-30,2025-05-31,quantile,0.05,0.4058956503868103,WNV cases
3,Cal_S,2025-04-30,2025-05-31,quantile,0.1,0.422559380531311,WNV cases
4,Cal_S,2025-04-30,2025-05-31,quantile,0.15,0.428907185792923,WNV cases
5,Cal_S,2025-04-30,2025-05-31,quantile,0.2,0.434301346540451,WNV cases
6,Cal_S,2025-04-30,2025-05-31,quantile,0.25,0.4413459599018097,WNV cases
7,Cal_S,2025-04-30,2025-05-31,quantile,0.3,0.4467127621173858,WNV cases
8,Cal_S,2025-04-30,2025-05-31,quantile,0.35,0.4510308504104614,WNV cases
9,Cal_S,2025-04-30,2025-05-31,quantile,0.4,0.4544538259506225,WNV cases
10,Cal_S,2025-04-30,2025-05-31,quantile,0.45,0.4581656157970428,WNV cases
11,Cal_S,2025-04-30,2025-05-31,quantile,0.5,0.4613567292690277,WNV cases
12,Cal_S,2025-04-30,2025-05-31,quantile,0.55,0.4655368030071258,WNV cases
13,Cal_S,2025-04-30,2025-05-31,quantile,0.6,0.4702474474906921,WNV cases
14,Cal_S,2025-04-30,2025-05-31,quantile,0.65,0.4771318733692169,WNV cases
15,Cal_S,2025-04-30,2025-05-31,quantile,0.7,0.4837978184223175,WNV cases
16,Cal_S,2025-04-30,2025-05-31,quantile,0.75,0.4900557696819305,WNV cases
17,Cal_S,2025-04-30,2025-05-31,quantile,0.8,0.4962486922740936,WNV cases
18,Cal_S,2025-04-30,2025-05-31,quantile,0.85,0.5064405798912048,WNV cases
19,Cal_S,2025-04-30,2025-05-31,quantile,0.9,0.5130298733711243,WNV cases
20,Cal_S,2025-04-30,2025-05-31,quantile,0.95,0.5272283554077148,WNV cases
21,Cal_S,2025-04-30,2025-05-31,quantile,0.99,0.5608646869659424,WNV cases
22,Cal_S,2025-04-30,2025-06-30,cdf,0,1.1261678738773749e-36,No WNV activity
23,Cal_S,2025-04-30,2025-06-30,quantile,0.01,3.355262041091919,WNV cases
24,Cal_S,2025-04-30,2025-06-30,quantile,0.05,3.537091016769409,WNV cases
25,Cal_S,2025-04-30,2025-06-30,quantile,0.1,3.682309150695801,WNV cases
26,Cal_S,2025-04-30,2025-06-30,quantile,0.15,3.737618207931519,WNV cases
27,Cal_S,2025-04-30,2025-06-30,quantile,0.2,3.784626007080078,WNV cases
28,Cal_S,2025-04-30,2025-06-30,quantile,0.25,3.846019983291626,WNV cases
29,Cal_S,2025-04-30,2025-06-30,quantile,0.3,3.89281702041626,WNV cases
30,Cal_S,2025-04-30,2025-06-30,quantile,0.35,3.930409193038941,WNV cases
31,Cal_S,2025-04-30,2025-06-30,quantile,0.4,3.960251808166504,WNV cases
32,Cal_S,2025-04-30,2025-06-30,quantile,0.45,3.992586135864258,WNV cases
33,Cal_S,2025-04-30,2025-06-30,quantile,0.5,4.020421028137207,WNV cases
34,Cal_S,2025-04-30,2025-06-30,quantile,0.55,4.056854724884033,WNV cases
35,Cal_S,2025-04-30,2025-06-30,quantile,0.6,4.097884654998779,WNV cases
36,Cal_S,2025-04-30,2025-06-30,quantile,0.65,4.157871246337891,WNV cases
37,Cal_S,2025-04-30,2025-06-30,quantile,0.7,4.215954303741455,WNV cases
38,Cal_S,2025-04-30,2025-06-30,quantile,0.75,4.270479679107666,WNV cases
39,Cal_S,2025-04-30,2025-06-30,quantile,0.8,4.3244500160217285,WNV cases
40,Cal_S,2025-04-30,2025-06-30,quantile,0.85,4.413257598876953,WNV cases
41,Cal_S,2025-04-30,2025-06-30,quantile,0.9,4.47070837020874,WNV cases
42,Cal_S,2025-04-30,2025-06-30,quantile,0.95,4.594444751739502,WNV cases
43,Cal_S,2025-04-30,2025-06-30,quantile,0.99,4.887524127960205,WNV cases
44,Cal_S,2025-04-30,2025-07-31,cdf,0,1.1221719928361514e-36,No WNV activity
45,Cal_S,2025-04-30,2025-07-31,quantile,0.01,8.383452415466309,WNV cases
46,Cal_S,2025-04-30,2025-07-31,quantile,0.05,8.837565422058105,WNV cases
47,Cal_S,2025-04-30,2025-07-31,quantile,0.1,9.200438499450684,WNV cases
48,Cal_S,2025-04-30,2025-07-31,quantile,0.15,9.33855152130127,WNV cases
49,Cal_S,2025-04-30,2025-07-31,quantile,0.2,9.456013679504396,WNV cases
50,Cal_S,2025-04-30,2025-07-31,quantile,0.25,9.60945987701416,WNV cases
51,Cal_S,2025-04-30,2025-07-31,quantile,0.3,9.726576805114746,WNV cases
52,Cal_S,2025-04-30,2025-07-31,quantile,0.35,9.8202486038208,WNV cases
53,Cal_S,2025-04-30,2025-07-31,quantile,0.4,9.894923210144045,WNV cases
54,Cal_S,2025-04-30,2025-07-31,quantile,0.45,9.975643157958984,WNV cases
55,Cal_S,2025-04-30,2025-07-31,quantile,0.5,10.045239448547363,WNV cases
56,Cal_S,2025-04-30,2025-07-31,quantile,0.55,10.136401176452637,WNV cases
57,Cal_S,2025-04-30,2025-07-31,quantile,0.6,10.238773345947266,WNV cases
58,Cal_S,2025-04-30,2025-07-31,quantile,0.65,10.388664245605469,WNV cases
59,Cal_S,2025-04-30,2025-07-31,quantile,0.7,10.533758163452148,WNV cases
60,Cal_S,2025-04-30,2025-07-31,quantile,0.75,10.669888496398926,WNV cases
61,Cal_S,2025-04-30,2025-07-31,quantile,0.8,10.804715156555176,WNV cases
62,Cal_S,2025-04-30,2025-07-31,quantile,0.85,11.026633262634276,WNV cases
63,Cal_S,2025-04-30,2025-07-31,quantile,0.9,11.170372009277344,WNV cases
64,Cal_S,2025-04-30,2025-07-31,quantile,0.95,11.479522705078123,WNV cases
65,Cal_S,2025-04-30,2025-07-31,quantile,0.99,12.21159553527832,WNV cases
66,Cal_S,2025-04-30,2025-08-31,cdf,0,1.116358519669664e-36,No WNV activity
67,Cal_S,2025-04-30,2025-08-31,quantile,0.01,12.337868690490724,WNV cases
68,Cal_S,2025-04-30,2025-08-31,quantile,0.05,13.005867958068848,WNV cases
69,Cal_S,2025-04-30,2025-08-31,quantile,0.1,13.539949417114258,WNV cases
70,Cal_S,2025-04-30,2025-08-31,quantile,0.15,13.74310302734375,WNV cases
71,Cal_S,2025-04-30,2025-08-31,quantile,0.2,13.91598415374756,WNV cases
72,Cal_S,2025-04-30,2025-08-31,quantile,0.25,14.141871452331545,WNV cases
73,Cal_S,2025-04-30,2025-08-31,quantile,0.3,14.314498901367188,WNV cases
74,Cal_S,2025-04-30,2025-08-31,quantile,0.35,14.451998710632324,WNV cases
75,Cal_S,2025-04-30,2025-08-31,quantile,0.4,14.562040328979492,WNV cases
76,Cal_S,2025-04-30,2025-08-31,quantile,0.45,14.680709838867188,WNV cases
77,Cal_S,2025-04-30,2025-08-31,quantile,0.5,14.783272743225098,WNV cases
78,Cal_S,2025-04-30,2025-08-31,quantile,0.55,14.917601585388184,WNV cases
79,Cal_S,2025-04-30,2025-08-31,quantile,0.6,15.068034172058104,WNV cases
80,Cal_S,2025-04-30,2025-08-31,quantile,0.65,15.288613319396973,WNV cases
81,Cal_S,2025-04-30,2025-08-31,quantile,0.7,15.50210666656494,WNV cases
82,Cal_S,2025-04-30,2025-08-31,quantile,0.75,15.702296257019045,WNV cases
83,Cal_S,2025-04-30,2025-08-31,quantile,0.8,15.90069580078125,WNV cases
84,Cal_S,2025-04-30,2025-08-31,quantile,0.85,16.22730255126953,WNV cases
85,Cal_S,2025-04-30,2025-08-31,quantile,0.9,16.439123153686523,WNV cases
86,Cal_S,2025-04-30,2025-08-31,quantile,0.95,16.894084930419922,WNV cases
87,Cal_S,2025-04-30,2025-08-31,quantile,0.99,17.971118927001953,WNV cases
88,Cal_S,2025-04-30,2025-09-30,cdf,0,1.1067512929386367e-36,No WNV activity
89,Cal_S,2025-04-30,2025-09-30,quantile,0.01,29.669164657592773,WNV cases
90,Cal_S,2025-04-30,2025-09-30,quantile,0.05,31.275693893432617,WNV cases
91,Cal_S,2025-04-30,2025-09-30,quantile,0.1,32.55995559692383,WNV cases
92,Cal_S,2025-04-30,2025-09-30,quantile,0.15,33.04868698120117,WNV cases
93,Cal_S,2025-04-30,2025-09-30,quantile,0.2,33.46435546875,WNV cases
94,Cal_S,2025-04-30,2025-09-30,quantile,0.25,34.00749969482422,WNV cases
95,Cal_S,2025-04-30,2025-09-30,quantile,0.3,34.421932220458984,WNV cases
96,Cal_S,2025-04-30,2025-09-30,quantile,0.35,34.75341033935547,WNV cases
97,Cal_S,2025-04-30,2025-09-30,quantile,0.4,35.0177116394043,WNV cases
98,Cal_S,2025-04-30,2025-09-30,quantile,0.45,35.302974700927734,WNV cases
99,Cal_S,2025-04-30,2025-09-30,quantile,0.5,35.54954528808594,WNV cases
100,Cal_S,2025-04-30,2025-09-30,quantile,0.55,35.872581481933594,WNV cases
101,Cal_S,2025-04-30,2025-09-30,quantile,0.6,36.23442459106445,WNV cases
102,Cal_S,2025-04-30,2025-09-30,quantile,0.65,36.76486206054688,WNV cases
103,Cal_S,2025-04-30,2025-09-30,quantile,0.7,37.278438568115234,WNV cases
104,Cal_S,2025-04-30,2025-09-30,quantile,0.75,37.75973892211914,WNV cases
105,Cal_S,2025-04-30,2025-09-30,quantile,0.8,38.23670196533203,WNV cases
106,Cal_S,2025-04-30,2025-09-30,quantile,0.85,39.022220611572266,WNV cases
107,Cal_S,2025-04-30,2025-09-30,quantile,0.9,39.53086471557617,WNV cases
108,Cal_S,2025-04-30,2025-09-30,quantile,0.95,40.625144958496094,WNV cases
109,Cal_S,2025-04-30,2025-09-30,quantile,0.99,43.21539306640625,WNV cases
110,Cal_S,2025-04-30,2025-10-31,cdf,0,1.0913919546052544e-36,No WNV activity
111,Cal_S,2025-04-30,2025-10-31,quantile,0.01,33.18459701538086,WNV cases
112,Cal_S,2025-04-30,2025-10-31,quantile,0.05,34.97996520996094,WNV cases
113,Cal_S,2025-04-30,2025-10-31,quantile,0.1,36.4163703918457,WNV cases
114,Cal_S,2025-04-30,2025-10-31,quantile,0.15,36.96260452270508,WNV cases
115,Cal_S,2025-04-30,2025-10-31,quantile,0.2,37.4294548034668,WNV cases
116,Cal_S,2025-04-30,2025-10-31,quantile,0.25,38.03546142578125,WNV cases
117,Cal_S,2025-04-30,2025-10-31,quantile,0.3,38.50005340576172,WNV cases
118,Cal_S,2025-04-30,2025-10-31,quantile,0.35,38.86933517456055,WNV cases
119,Cal_S,2025-04-30,2025-10-31,quantile,0.4,39.1653938293457,WNV cases
120,Cal_S,2025-04-30,2025-10-31,quantile,0.45,39.4838752746582,WNV cases
121,Cal_S,2025-04-30,2025-10-31,quantile,0.5,39.76043319702149,WNV cases
122,Cal_S,2025-04-30,2025-10-31,quantile,0.55,40.122745513916016,WNV cases
123,Cal_S,2025-04-30,2025-10-31,quantile,0.6,40.52611541748047,WNV cases
124,Cal_S,2025-04-30,2025-10-31,quantile,0.65,41.119258880615234,WNV cases
125,Cal_S,2025-04-30,2025-10-31,quantile,0.7,41.69364929199219,WNV cases
126,Cal_S,2025-04-30,2025-10-31,quantile,0.75,42.23114776611328,WNV cases
127,Cal_S,2025-04-30,2025-10-31,quantile,0.8,42.76436233520508,WNV cases
128,Cal_S,2025-04-30,2025-10-31,quantile,0.85,43.64297866821289,WNV cases
129,Cal_S,2025-04-30,2025-10-31,quantile,0.9,44.21320343017578,WNV cases
130,Cal_S,2025-04-30,2025-10-31,quantile,0.95,45.437137603759766,WNV cases
131,Cal_S,2025-04-30,2025-10-31,quantile,0.99,48.332496643066406,WNV cases
132,Cal_S,2025-04-30,2025-11-30,cdf,0,1.0786119731967672e-36,No WNV activity
133,Cal_S,2025-04-30,2025-11-30,quantile,0.01,13.230635643005373,WNV cases
134,Cal_S,2025-04-30,2025-11-30,quantile,0.05,13.944793701171877,WNV cases
135,Cal_S,2025-04-30,2025-11-30,quantile,0.1,14.51775360107422,WNV cases
136,Cal_S,2025-04-30,2025-11-30,quantile,0.15,14.73489475250244,WNV cases
137,Cal_S,2025-04-30,2025-11-30,quantile,0.2,14.9243803024292,WNV cases
138,Cal_S,2025-04-30,2025-11-30,quantile,0.25,15.163071632385254,WNV cases
139,Cal_S,2025-04-30,2025-11-30,quantile,0.3,15.34995460510254,WNV cases
140,Cal_S,2025-04-30,2025-11-30,quantile,0.35,15.494996070861816,WNV cases
141,Cal_S,2025-04-30,2025-11-30,quantile,0.4,15.613930702209473,WNV cases
142,Cal_S,2025-04-30,2025-11-30,quantile,0.45,15.740336418151855,WNV cases
143,Cal_S,2025-04-30,2025-11-30,quantile,0.5,15.85128116607666,WNV cases
144,Cal_S,2025-04-30,2025-11-30,quantile,0.55,15.996551513671877,WNV cases
145,Cal_S,2025-04-30,2025-11-30,quantile,0.6,16.156259536743164,WNV cases
146,Cal_S,2025-04-30,2025-11-30,quantile,0.65,16.392719268798828,WNV cases
147,Cal_S,2025-04-30,2025-11-30,quantile,0.7,16.621366500854492,WNV cases
148,Cal_S,2025-04-30,2025-11-30,quantile,0.75,16.834991455078125,WNV cases
149,Cal_S,2025-04-30,2025-11-30,quantile,0.8,17.047550201416016,WNV cases
150,Cal_S,2025-04-30,2025-11-30,quantile,0.85,17.397844314575195,WNV cases
151,Cal_S,2025-04-30,2025-11-30,quantile,0.9,17.626949310302734,WNV cases
152,Cal_S,2025-04-30,2025-11-30,quantile,0.95,18.11476707458496,WNV cases
153,Cal_S,2025-04-30,2025-11-30,quantile,0.99,19.26732635498047,WNV cases
154,Cal_S,2025-04-30,2025-12-31,cdf,0,1.0473574843829864e-36,No WNV activity
155,Cal_S,2025-04-30,2025-12-31,quantile,0.01,1.2010602951049805,WNV cases
156,Cal_S,2025-04-30,2025-12-31,quantile,0.05,1.265135407447815,WNV cases
157,Cal_S,2025-04-30,2025-12-31,quantile,0.1,1.3172850608825684,WNV cases
158,Cal_S,2025-04-30,2025-12-31,quantile,0.15,1.3366893529891968,WNV cases
159,Cal_S,2025-04-30,2025-12-31,quantile,0.2,1.3554539680480957,WNV cases
160,Cal_S,2025-04-30,2025-12-31,quantile,0.25,1.3757574558258057,WNV cases
161,Cal_S,2025-04-30,2025-12-31,quantile,0.3,1.3935264348983765,WNV cases
162,Cal_S,2025-04-30,2025-12-31,quantile,0.35,1.405636429786682,WNV cases
163,Cal_S,2025-04-30,2025-12-31,quantile,0.4,1.417286038398743,WNV cases
164,Cal_S,2025-04-30,2025-12-31,quantile,0.45,1.428097367286682,WNV cases
165,Cal_S,2025-04-30,2025-12-31,quantile,0.5,1.4390177726745603,WNV cases
166,Cal_S,2025-04-30,2025-12-31,quantile,0.55,1.4520219564437866,WNV cases
167,Cal_S,2025-04-30,2025-12-31,quantile,0.6,1.4660228490829468,WNV cases
168,Cal_S,2025-04-30,2025-12-31,quantile,0.65,1.4874858856201172,WNV cases
169,Cal_S,2025-04-30,2025-12-31,quantile,0.7,1.508054494857788,WNV cases
170,Cal_S,2025-04-30,2025-12-31,quantile,0.75,1.52715802192688,WNV cases
171,Cal_S,2025-04-30,2025-12-31,quantile,0.8,1.546458125114441,WNV cases
172,Cal_S,2025-04-30,2025-12-31,quantile,0.85,1.5782480239868164,WNV cases
173,Cal_S,2025-04-30,2025-12-31,quantile,0.9,1.5998950004577637,WNV cases
174,Cal_S,2025-04-30,2025-12-31,quantile,0.95,1.644081711769104,WNV cases
175,Cal_S,2025-04-30,2025-12-31,quantile,0.99,1.7478878498077393,WNV cases
176,LAO_G,2025-04-30,2025-05-31,cdf,0,4.0067450606448596e-46,No WNV activity
177,LAO_G,2025-04-30,2025-05-31,quantile,0.01,0.2453102320432663,WNV cases
178,LAO_G,2025-04-30,2025-05-31,quantile,0.05,0.2610019445419311,WNV cases
179,LAO_G,2025-04-30,2025-05-31,quantile,0.1,0.2714285254478454,WNV cases
180,LAO_G,2025-04-30,2025-05-31,quantile,0.15,0.2796051800251007,WNV cases
181,LAO_G,2025-04-30,2025-05-31,quantile,0.2,0.2829345166683197,WNV cases
