location,origin_date,target_date,output_type_id,value,output_type,target
Cal_S,2025-05-31,2025-06-30,0.01,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.05,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.1,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.15,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.2,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.25,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.3,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.35,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.4,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.45,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.5,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.55,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.6,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.65,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.7,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.75,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.8,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.85,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.9,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.95,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.99,3.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0,0.7913341148119387,cdf,No WNV activity
Cal_S,2025-05-31,2025-07-31,0.01,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.05,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.1,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.15,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.2,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.25,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.3,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.35,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.4,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.45,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.5,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.55,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.6,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.65,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.7,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.75,3.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.8,3.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.85,4.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.9,4.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.95,5.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.99,7.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0,0.2234248736936057,cdf,No WNV activity
Cal_S,2025-05-31,2025-08-31,0.01,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.05,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.1,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.15,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.2,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.25,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.3,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.35,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.4,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.45,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.5,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.55,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.6,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.65,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.7,3.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.75,3.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.8,3.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.85,4.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.9,4.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.95,5.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0.99,7.0,quantile,WNV cases
Cal_S,2025-05-31,2025-08-31,0,0.2163391442201031,cdf,No WNV activity
Cal_S,2025-05-31,2025-09-30,0.01,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.05,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.1,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.15,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.2,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.25,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.3,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.35,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.4,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.45,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.5,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.55,3.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.6,3.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.65,3.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.7,4.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.75,4.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.8,4.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.85,5.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.9,6.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.95,7.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0.99,9.0,quantile,WNV cases
Cal_S,2025-05-31,2025-09-30,0,0.1271746541364258,cdf,No WNV activity
Cal_S,2025-05-31,2025-10-31,0.01,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.05,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.1,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.15,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.2,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.25,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.3,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.35,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.4,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.45,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.5,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.55,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.6,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.65,2.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.7,3.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.75,3.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.8,3.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.85,4.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.9,4.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.95,5.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0.99,7.0,quantile,WNV cases
Cal_S,2025-05-31,2025-10-31,0,0.2113847142462671,cdf,No WNV activity
Cal_S,2025-05-31,2025-11-30,0.01,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.05,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.1,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.15,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.2,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.25,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.3,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.35,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.4,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.45,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.5,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.55,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.6,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.65,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.7,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.75,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.8,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-11-30,0.85,1.0,quantile,WNV cases
