location,origin_date,target_date,output_type_id,value,output_type,target
Cal_S,2025-06-30,2025-07-31,0.01,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.05,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.1,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.15,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.2,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.25,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.3,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.35,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.4,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.45,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.5,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.55,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.6,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.65,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.7,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.75,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.8,3.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.85,3.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.9,4.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.95,5.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.99,7.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0,0.34340463864431164,cdf,No WNV activity
Cal_S,2025-06-30,2025-08-31,0.01,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.05,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.1,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.15,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.2,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.25,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.3,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.35,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.4,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.45,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.5,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.55,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.6,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.65,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.7,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.75,3.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.8,3.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.85,4.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.9,4.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.95,6.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.99,8.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0,0.27938265988206756,cdf,No WNV activity
Cal_S,2025-06-30,2025-09-30,0.01,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.05,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.1,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.15,1.0,quantile,WNV cases
