location,origin_date,target_date,output_type_id,value,output_type,target
Cal_S,2025-06-30,2025-07-31,0.01,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.05,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.1,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.15,3.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.2,4.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.25,4.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.3,5.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.35,5.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.4,5.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.45,6.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.5,6.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.55,7.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.6,7.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.65,8.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.7,8.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.75,9.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.8,10.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.85,11.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.9,12.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.95,14.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0.99,18.0,quantile,WNV cases
Cal_S,2025-06-30,2025-07-31,0,0.009818769359814303,cdf,No WNV activity
Cal_S,2025-06-30,2025-08-31,0.01,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.05,4.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.1,5.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.15,6.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.2,7.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.25,7.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.3,8.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.35,9.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.4,9.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.45,10.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.5,10.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.55,11.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.6,12.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.65,12.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.7,13.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.75,14.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.8,15.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.85,16.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.9,17.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.95,20.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0.99,25.0,quantile,WNV cases
Cal_S,2025-06-30,2025-08-31,0,0.0007283495862681466,cdf,No WNV activity
Cal_S,2025-06-30,2025-09-30,0.01,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.05,3.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.1,4.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.15,5.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.2,6.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.25,6.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.3,7.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.35,7.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.4,8.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.45,9.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.5,9.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.55,10.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.6,10.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.65,11.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.7,12.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.75,12.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.8,13.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.85,14.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.9,16.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.95,18.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0.99,22.0,quantile,WNV cases
Cal_S,2025-06-30,2025-09-30,0,0.0016225821738219497,cdf,No WNV activity
Cal_S,2025-06-30,2025-10-31,0.01,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.05,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.1,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.15,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.2,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.25,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.3,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.35,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.4,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.45,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.5,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.55,3.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.6,3.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.65,3.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.7,4.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.75,4.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.8,5.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.85,5.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.9,6.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.95,7.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0.99,10.0,quantile,WNV cases
Cal_S,2025-06-30,2025-10-31,0,0.1311150953206017,cdf,No WNV activity
Cal_S,2025-06-30,2025-11-30,0.01,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.05,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.1,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.15,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.2,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.25,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.3,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.35,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.4,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.45,0.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.5,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.55,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.6,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.65,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.7,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.75,1.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.8,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.85,2.0,quantile,WNV cases
Cal_S,2025-06-30,2025-11-30,0.9,2.0,quantile,WNV cases
