location,origin_date,target_date,output_type_id,value,output_type,target
Cal_S,2025-05-31,2025-06-30,0.01,0.69158083,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.05,0.63462776,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.1,0.28302023,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.15,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.2,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.25,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.3,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.35,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.4,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.45,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.5,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.55,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.6,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.65,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.7,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.75,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.8,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.85,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.9,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.95,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0.99,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-06-30,0,3.0,cdf,No WNV activity
Cal_S,2025-05-31,2025-07-31,0.01,0.6389516,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.05,3.3458164,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.1,1.8905996,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.15,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.2,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.25,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.3,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.35,0.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.4,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.45,1.0,quantile,WNV cases
Cal_S,2025-05-31,2025-07-31,0.5,1.0,quantile,WNV cases
